row_idx,x,y,language,detail_level,sentiment_class,detail_level_659d21b9_pred,detail_level_a6312ca1_pred,sentiment_4fba3d0b_pred,sentiment_ba797532_pred,language_ef21cec4_pred,language_7f943949_pred,cluster
0,-0.0964988489698474,-0.0678432665930751,ru,long,positive,long,long,positive,positive,ru,ru,3
1,-0.0195110760482541,0.1333581989871378,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed,1
2,-0.0938018285131662,-0.1166193874349412,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
3,-0.1506818793231795,0.0205321462030013,ru,long,positive,long,long,positive,positive,ru,ru,3
4,-0.1793333534792356,-0.3045062894756683,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
5,0.0841538603707472,0.0292755964466766,mixed,medium,neutral,short,short,neutral,neutral,mixed,mixed,1
6,0.0935552887822606,-0.0858436565237458,mixed,medium,positive,medium,short,positive,positive,mixed,mixed,1
7,-0.1941466915855524,-0.3322356723739142,ru,long,positive,long,long,positive,positive,ru,ru,3
8,0.3965829577774001,0.002354990377403,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
9,0.4527845834742315,0.0226073981318305,kz,long,neutral,long,long,neutral,neutral,kz,kz,0
10,0.016423170014744,-0.0532252048527118,ru,short,neutral,short,short,neutral,neutral,ru,ru,1
11,0.1949962606531796,0.0090747694543828,kz,medium,negative,medium,medium,negative,negative,kz,kz,0
12,-0.0239906160687087,-0.0741895697604129,ru,medium,positive,long,long,positive,positive,ru,ru,1
13,-0.1923883657302315,-0.177451716657563,ru,long,positive,long,long,positive,positive,ru,ru,3
14,-0.2452253833347026,-0.238626713953588,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
15,0.0908257157247979,0.0110952511418653,mixed,long,positive,long,long,positive,positive,mixed,mixed,1
16,-0.0674223267938795,-0.0783676541758663,ru,short,positive,short,short,positive,positive,ru,ru,3
17,-0.2182098577518927,-0.3098023213623359,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
18,-0.1583210903851089,-0.2381679477372473,ru,medium,negative,medium,medium,negative,negative,ru,ru,3
19,0.4032646341786225,0.0602426832575333,kz,long,positive,long,long,positive,positive,kz,kz,0
20,0.2707736180847733,-0.0044448369690561,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
21,0.0770259732400439,-0.0251647826989641,mixed,medium,negative,medium,medium,negative,negative,mixed,mixed,1
22,0.1130933714221017,-0.0146011458354305,mixed,short,neutral,medium,short,neutral,neutral,mixed,mixed,1
23,0.0717988102373843,-0.0691836121607365,mixed,medium,negative,medium,medium,negative,negative,mixed,mixed,1
24,0.2143544007892755,0.0238321213727601,mixed,short,positive,short,short,positive,positive,mixed,mixed,0
25,-0.2053319135478996,0.4192806753111904,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
26,-0.1241701557563955,-0.1318572535677301,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
27,-0.0822594374959305,-0.0263180940709635,ru,medium,negative,medium,medium,negative,negative,ru,ru,3
28,0.0863310917350404,-0.017476539587431,mixed,long,negative,long,long,negative,negative,mixed,mixed,1
29,-0.0247513056999944,-0.0477724370908872,ru,long,positive,long,long,positive,positive,ru,ru,1
30,-0.1352111905872373,0.3078580951724357,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,2
31,0.0034178089851737,-0.0400739192326903,ru,short,negative,short,short,negative,negative,ru,ru,1
32,0.2853396751753774,0.0066545242180167,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
33,0.3019578095432366,0.0280856880322111,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
34,-0.19015887505547,-0.2857147750604866,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
35,-0.1061150499764848,-0.0826493743504302,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
36,0.2087186791854786,-0.0193857695875424,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed,0
37,0.2907386757267304,0.1077758939312267,kz,short,positive,short,medium,positive,positive,kz,kz,0
38,0.3220697465435563,0.0415431573847563,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
39,0.3243279782483087,0.0196926574725453,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
40,0.0729558166736373,-0.03209497242104,mixed,medium,positive,medium,short,positive,positive,mixed,mixed,1
41,0.152160306413474,-0.0253741880880878,kz,short,positive,short,short,positive,positive,kz,kz,1
42,-0.0845961487448627,-0.0311034160772449,ru,short,positive,short,short,positive,positive,ru,ru,3
43,-0.0993297946258575,0.1611517196420166,ru,short,positive,short,short,positive,positive,ru,ru,2
44,0.1130646935237243,0.0358935611203757,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed,1
45,0.2233129674147134,-0.0030405201482607,kz,short,neutral,short,short,neutral,neutral,kz,kz,0
46,-0.1773414701489042,0.3410126399806084,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,2
47,-0.0283850030643656,0.0242284744049517,ru,short,negative,short,short,negative,negative,ru,ru,1
48,-0.114311890108199,0.0604176950200404,ru,long,negative,long,long,negative,negative,ru,ru,3
49,-0.1595179034108598,-0.0228172808189786,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
50,-0.2624212126105174,0.5062422505659638,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,2
51,-0.1984546773382131,-0.2725750679494247,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
52,-0.1467336040393617,0.3288182658398004,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,2
53,-0.1917791667032288,-0.0606487643384338,ru,long,positive,long,long,positive,positive,ru,ru,3
54,0.1962021162064808,0.0317382834203288,kz,short,positive,short,short,positive,positive,kz,kz,0
55,-0.1857016964247809,-0.0528481566136038,ru,long,positive,long,long,positive,positive,ru,ru,3
56,0.4462304425120262,0.1059614201693666,kz,long,positive,long,long,positive,positive,kz,kz,0
57,-0.1622662045279606,-0.0805599663929055,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
58,-0.203980822280291,-0.2753410928352133,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
59,-0.1648781529426513,0.105741995950362,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
60,-0.0933322489528858,-0.0146873243239183,ru,short,positive,short,short,positive,positive,ru,ru,3
61,-0.1956001666882379,-0.3134606557658169,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
62,0.2924101783759598,-0.0198898151892344,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
63,-0.2519533650881903,-0.1021023842130879,ru,long,positive,long,long,positive,positive,ru,ru,3
64,0.3189520760432285,0.018972833580911,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
65,0.0995834552447652,-0.0011000325982894,mixed,medium,neutral,short,short,neutral,neutral,mixed,mixed,1
66,-0.1349643826867919,-0.2624381261352675,ru,short,positive,medium,long,positive,positive,ru,ru,3
67,-0.043548213487953,0.1122787952839493,ru,short,positive,short,short,positive,positive,ru,ru,1
68,0.3611409987900315,0.0092071988230824,kz,long,positive,long,long,positive,positive,kz,kz,0
69,-0.2062013967015793,-0.3018730293667207,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
70,-0.075996771858478,-0.0815109674613738,ru,long,negative,long,long,negative,negative,ru,ru,3
71,0.1650931076488108,0.0147525926566987,kz,short,positive,short,short,positive,positive,kz,kz,1
72,-0.1290608303133699,-0.1345694165610401,ru,long,positive,long,long,positive,positive,ru,ru,3
73,-0.0630703653710197,0.1165580704386008,ru,short,negative,short,short,negative,negative,ru,ru,1
