row_idx,x,y,language,detail_level,sentiment_class,detail_level_659d21b9_pred,detail_level_a6312ca1_pred,sentiment_4fba3d0b_pred,sentiment_ba797532_pred,language_ef21cec4_pred,language_7f943949_pred
0,-0.09649884896984741,-0.06784326659307514,ru,long,positive,long,long,positive,positive,ru,ru
1,-0.019511076048254108,0.1333581989871378,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
2,-0.09380182851316624,-0.11661938743494123,ru,medium,positive,medium,medium,positive,positive,ru,ru
3,-0.15068187932317956,0.020532146203001374,ru,long,positive,long,long,positive,positive,ru,ru
4,-0.17933335347923562,-0.3045062894756683,ru,medium,positive,medium,medium,positive,positive,ru,ru
5,0.0841538603707472,0.02927559644667662,mixed,medium,neutral,short,short,neutral,neutral,mixed,mixed
6,0.09355528878226063,-0.08584365652374588,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
7,-0.19414669158555245,-0.3322356723739142,ru,long,positive,long,long,positive,positive,ru,ru
8,0.39658295777740016,0.0023549903774030432,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
9,0.45278458347423156,0.022607398131830565,kz,long,neutral,long,long,neutral,neutral,kz,kz
10,0.016423170014744054,-0.053225204852711865,ru,short,neutral,short,short,neutral,neutral,ru,ru
11,0.19499626065317968,0.009074769454382847,kz,medium,negative,medium,medium,negative,negative,kz,kz
12,-0.023990616068708736,-0.07418956976041291,ru,medium,positive,long,long,positive,positive,ru,ru
13,-0.19238836573023155,-0.177451716657563,ru,long,positive,long,long,positive,positive,ru,ru
14,-0.24522538333470265,-0.23862671395358803,ru,long,neutral,long,long,neutral,neutral,ru,ru
15,0.09082571572479792,0.011095251141865336,mixed,long,positive,long,long,positive,positive,mixed,mixed
16,-0.06742232679387952,-0.07836765417586639,ru,short,positive,short,short,positive,positive,ru,ru
17,-0.2182098577518927,-0.30980232136233593,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
18,-0.15832109038510897,-0.2381679477372473,ru,medium,negative,medium,medium,negative,negative,ru,ru
19,0.4032646341786225,0.06024268325753333,kz,long,positive,long,long,positive,positive,kz,kz
20,0.27077361808477335,-0.00444483696905619,kz,medium,positive,medium,medium,positive,positive,kz,kz
21,0.07702597324004398,-0.025164782698964133,mixed,medium,negative,medium,medium,negative,negative,mixed,mixed
22,0.11309337142210175,-0.014601145835430523,mixed,short,neutral,medium,short,neutral,neutral,mixed,mixed
23,0.07179881023738435,-0.06918361216073658,mixed,medium,negative,medium,medium,negative,negative,mixed,mixed
24,0.2143544007892755,0.023832121372760157,mixed,short,positive,short,short,positive,positive,mixed,mixed
25,-0.20533191354789967,0.4192806753111904,ru,medium,positive,medium,medium,positive,positive,ru,ru
26,-0.12417015575639556,-0.13185725356773012,ru,medium,positive,medium,medium,positive,positive,ru,ru
27,-0.08225943749593058,-0.026318094070963534,ru,medium,negative,medium,medium,negative,negative,ru,ru
28,0.08633109173504043,-0.017476539587431002,mixed,long,negative,long,long,negative,negative,mixed,mixed
29,-0.024751305699994477,-0.047772437090887264,ru,long,positive,long,long,positive,positive,ru,ru
30,-0.13521119058723735,0.3078580951724357,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
31,0.003417808985173742,-0.040073919232690346,ru,short,negative,short,short,negative,negative,ru,ru
32,0.28533967517537745,0.006654524218016784,kz,medium,positive,medium,medium,positive,positive,kz,kz
33,0.30195780954323664,0.028085688032211138,kz,medium,positive,medium,medium,positive,positive,kz,kz
34,-0.19015887505547005,-0.2857147750604866,ru,medium,positive,medium,medium,positive,positive,ru,ru
35,-0.1061150499764848,-0.08264937435043022,ru,long,neutral,long,long,neutral,neutral,ru,ru
36,0.2087186791854786,-0.01938576958754247,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed
37,0.2907386757267304,0.1077758939312267,kz,short,positive,short,medium,positive,positive,kz,kz
38,0.32206974654355636,0.041543157384756384,kz,medium,positive,medium,medium,positive,positive,kz,kz
39,0.3243279782483087,0.019692657472545356,kz,medium,positive,medium,medium,positive,positive,kz,kz
40,0.0729558166736373,-0.03209497242104009,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
41,0.15216030641347406,-0.02537418808808789,kz,short,positive,short,short,positive,positive,kz,kz
42,-0.08459614874486274,-0.03110341607724495,ru,short,positive,short,short,positive,positive,ru,ru
43,-0.0993297946258575,0.16115171964201663,ru,short,positive,short,short,positive,positive,ru,ru
44,0.11306469352372431,0.03589356112037574,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
45,0.22331296741471346,-0.0030405201482607332,kz,short,neutral,short,short,neutral,neutral,kz,kz
46,-0.17734147014890422,0.3410126399806084,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
47,-0.02838500306436561,0.024228474404951707,ru,short,negative,short,short,negative,negative,ru,ru
48,-0.11431189010819907,0.06041769502004041,ru,long,negative,long,long,negative,negative,ru,ru
49,-0.1595179034108598,-0.022817280818978606,ru,medium,positive,medium,medium,positive,positive,ru,ru
50,-0.26242121261051743,0.5062422505659638,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
51,-0.19845467733821315,-0.27257506794942477,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
52,-0.14673360403936173,0.3288182658398004,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
53,-0.19177916670322884,-0.06064876433843388,ru,long,positive,long,long,positive,positive,ru,ru
54,0.1962021162064808,0.031738283420328854,kz,short,positive,short,short,positive,positive,kz,kz
55,-0.18570169642478096,-0.05284815661360389,ru,long,positive,long,long,positive,positive,ru,ru
56,0.4462304425120262,0.10596142016936667,kz,long,positive,long,long,positive,positive,kz,kz
57,-0.1622662045279606,-0.08055996639290551,ru,long,neutral,long,long,neutral,neutral,ru,ru
58,-0.20398082228029105,-0.27534109283521335,ru,medium,positive,medium,medium,positive,positive,ru,ru
59,-0.16487815294265132,0.10574199595036207,ru,medium,positive,medium,medium,positive,positive,ru,ru
60,-0.09333224895288582,-0.014687324323918345,ru,short,positive,short,short,positive,positive,ru,ru
61,-0.1956001666882379,-0.3134606557658169,ru,long,neutral,long,long,neutral,neutral,ru,ru
62,0.2924101783759598,-0.019889815189234456,kz,medium,positive,medium,medium,positive,positive,kz,kz
63,-0.25195336508819033,-0.10210238421308794,ru,long,positive,long,long,positive,positive,ru,ru
64,0.31895207604322856,0.018972833580911067,kz,medium,positive,medium,medium,positive,positive,kz,kz
65,0.0995834552447652,-0.00110003259828949,mixed,medium,neutral,short,short,neutral,neutral,mixed,mixed
66,-0.13496438268679195,-0.2624381261352675,ru,short,positive,medium,long,positive,positive,ru,ru
67,-0.04354821348795306,0.11227879528394931,ru,short,positive,short,short,positive,positive,ru,ru
68,0.36114099879003153,0.009207198823082486,kz,long,positive,long,long,positive,positive,kz,kz
69,-0.20620139670157936,-0.3018730293667207,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
70,-0.07599677185847802,-0.08151096746137382,ru,long,negative,long,long,negative,negative,ru,ru
71,0.1650931076488108,0.014752592656698774,kz,short,positive,short,short,positive,positive,kz,kz
72,-0.12906083031336996,-0.13456941656104018,ru,long,positive,long,long,positive,positive,ru,ru
73,-0.06307036537101973,0.11655807043860086,ru,short,negative,short,short,negative,negative,ru,ru
74,-0.11904984436017726,-0.09261773426649968,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
75,0.14899892519657595,0.009273394856866884,mixed,short,positive,short,short,positive,positive,mixed,mixed
76,-0.05943324338453404,-0.06861061310083669,ru,short,positive,short,short,positive,positive,ru,ru
77,-0.12108176378176969,-0.05056058072528125,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
78,0.0912251032525438,-0.0040842527539146556,kz,short,negative,short,short,negative,negative,mixed,kz
79,0.09978595919973388,-0.018123820745318594,mixed,medium,negative,medium,short,negative,negative,mixed,mixed
80,-0.12204898660285103,-0.08490374660309849,ru,medium,positive,medium,medium,positive,positive,ru,ru
81,-0.10612738894314262,0.04253628644031697,ru,medium,positive,medium,medium,positive,positive,ru,ru
82,-0.2017493875671317,-0.26569295627766676,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
83,-0.09326481720480805,-0.016768407567910704,ru,short,positive,short,short,positive,positive,ru,ru
84,0.0671364325098966,0.10753879433928794,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
85,-0.1371612899007411,-0.2012383294967218,ru,long,neutral,long,long,neutral,neutral,ru,ru
86,0.42084409424350033,0.017237108067480276,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
87,0.12089177657767437,0.005104369226246351,kz,short,negative,short,short,negative,negative,kz,kz
88,-0.21050822988744206,0.3752799681977594,ru,medium,positive,medium,medium,positive,positive,ru,ru
89,-0.14812123647869826,-0.07637282328519045,ru,long,neutral,long,long,neutral,neutral,ru,ru
90,-0.17888312179859936,0.06588268803446323,ru,long,positive,long,medium,positive,positive,ru,ru
91,-0.13327641720836922,0.04763157987983219,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
92,0.35358031280551316,0.016950983321480064,kz,long,positive,long,long,positive,positive,kz,kz
93,-0.17272895989154785,0.35772774022752896,ru,medium,positive,medium,medium,positive,positive,ru,ru
94,-0.01303878082559529,-0.022247548975609557,ru,medium,positive,medium,short,positive,positive,ru,ru
95,-0.05439090269543928,-0.015539876610280381,mixed,short,positive,short,short,positive,positive,ru,mixed
96,0.4294683095749414,0.010076180409712551,kz,long,neutral,long,long,neutral,neutral,kz,kz
97,0.38440469594465854,0.014413025257876619,kz,long,positive,long,long,positive,positive,kz,kz
98,-0.04594069377820065,-0.01112291932370533,ru,short,positive,short,short,positive,positive,ru,ru
99,-0.2192341039600388,-0.24671139140701026,ru,medium,positive,medium,medium,positive,positive,ru,ru
