№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
1,9,10,10,10,9,10,10,10,8,"чувствуется опыт и вовлеченность преподавателей. в целом курс мотивирует и втягивает, кстати примеры привязаны к реальным процессам.",ru,long,positive
2,1,6,10,8,7,7,7,9,7,"поддерживают на консультациях, комментарии приходят оперативно, в целом кеңестер уақтылы, қолдау бар!",mixed,medium,positive
3,9,7,8,6,7,6,10,8,9,"процессы выстроены, вопросов почти нет, стоит подумать усилить практику и разбор кейсов.",ru,medium,positive
4,8,9,10,10,10,10,10,10,10,"поддерживают на консультациях, комментарии приходят вовремя. программа выглядит нового уровня, неплохо бы усилить практику и разбор кейсов.",ru,long,positive
5,9,10,10,8,8,9,9,10,8,"формат практики удобный, задачи разобраны ясно, в целом проекты и задачи помогают закреплять.",ru,medium,positive
6,5,6,6,7,5,5,8,6,5,"оқытушылардың тәсілдері әртүрлі, жалпы айқын, в целом подходы разнятся, но в целом понятно.",mixed,medium,neutral
7,10,8,8,6,8,8,9,7,8,"практика ыңғайлы форматта, тапсырмалар нақты, жалпы формат практики удобный, задачи разобраны структурно!",mixed,medium,positive
8,9,10,9,10,10,9,10,10,10,"стажировки и проекты помогают закреплять темы. формат практики удобный, задачи разобраны логично, в итоге проекты и задачи помогают закреплять.",ru,long,positive
9,4,6,4,5,8,7,6,4,4,"жалпы қалыпты, жақсы болар еді практиканы және мысалдарды күшейту",kz,medium,neutral
10,6,8,7,9,7,7,9,7,10,"ерекше ескертулер жоқ. жалпы қалыпты, сонымен қатар жобалар пайдалы, қалағаным практиканы және мысалдарды күшейту, сонымен қатар кеңес алу оңай",kz,long,neutral
